类别编号,样本数,高收入比例(%),PC1均值,PC2均值,hours-per-week均值,capital-gain均值,capital-loss均值,age均值,workclass均值,fnlwgt均值,education均值,education-num均值,marital-status均值,occupation均值,relationship均值,race均值,sex均值,native-country均值,income均值
0,24151,24.58,-47769.35,10.03,40.5,1086.23,89.57,39.15,3.88,142009.02,10.36,10.14,2.59,6.56,1.45,3.68,0.66,36.88,0.25
1,8410,22.64,137179.26,-28.81,40.26,1053.0,80.8,36.94,3.85,326957.63,10.13,9.9,2.68,6.62,1.44,3.62,0.7,36.25,0.23
